keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,time
-0.09,-1.16177e-12,0.01,-2.39372e-11,159.159155500005
-0.08,-1.20047e-12,0.01,9.60112e-11,160.185287500033
-0.07,-1.19312e-12,0.01,2.1627e-10,161.212084500003
-0.06,-1.26376e-12,0.01,3.42202e-10,162.247231999994
-0.05,-1.19967e-12,0.01,4.63963e-10,163.272000099998
-0.04,-1.35946e-12,0.01,5.91707e-10,164.30261090002
-0.03,-1.28462e-12,0.01,7.16245e-10,165.328305599978
-0.02,-1.32439e-12,0.01,8.45635e-10,166.35730230005
-0.01,-1.36904e-12,0.01,9.72605e-10,167.374069500016
0.0,-1.39375e-12,0.01,1.09782e-09,168.399842599989
0.01,-1.42775e-12,0.01,1.22687e-09,169.415866900003
0.02,-1.36701e-12,0.01,1.35586e-09,170.443836300052
0.03,-1.38361e-12,0.01,1.49056e-09,171.46363220003
0.04,-1.3514e-12,0.01,1.61974e-09,172.689654499991
0.05,-1.39756e-12,0.01,1.75475e-09,173.707630500081
0.06,-1.43476e-12,0.01,1.88687e-09,174.936333900085
0.07,-1.44734e-12,0.01,2.02451e-09,175.965974600054
0.08,-1.42728e-12,0.01,2.15806e-09,177.003060200019
0.09,-1.4477e-12,0.01,2.29126e-09,178.022149100085
0.1,-1.45104e-12,0.01,2.43149e-09,179.051968300017
0.11,-1.57865e-12,0.01,2.56765e-09,180.068335800082
0.12,-1.55154e-12,0.01,2.70979e-09,181.093583800015
0.13,-1.56643e-12,0.01,2.84879e-09,182.111076100031
0.14,-1.69756e-12,0.01,2.99418e-09,183.136968799983
0.15,-1.61533e-12,0.01,3.13385e-09,184.155576099991
0.16,-1.71217e-12,0.01,3.27833e-09,185.185305400053
0.17,-1.74143e-12,0.01,3.41954e-09,186.203523900011
0.18,-1.80875e-12,0.01,3.56046e-09,187.226354800048
0.19,-1.77363e-12,0.01,3.70669e-09,188.243119199993
0.2,-1.75807e-12,0.01,3.84766e-09,189.477777000051
0.21,-1.80247e-12,0.01,3.99597e-09,190.693681200035
0.22,-1.9118e-12,0.01,4.13946e-09,191.725141300005
0.23,-1.79218e-12,0.01,4.28756e-09,192.752046299982
0.24,-1.8213e-12,0.01,4.43168e-09,193.773605199996
0.25,-1.8527e-12,0.01,4.57593e-09,194.790077700047
0.26,-1.86453e-12,0.01,4.726e-09,195.813712500036
0.27,-1.90969e-12,0.01,4.8705e-09,196.829348200001
0.28,-1.81798e-12,0.01,5.02051e-09,197.854408400017
0.29,-1.83164e-12,0.01,5.1669e-09,198.873324400047
0.3,-2.02814e-12,0.01,5.31802e-09,199.907247800031
0.31,-1.98032e-12,0.01,5.46455e-09,200.927119600005
0.32,-2.15801e-12,0.01,5.61572e-09,201.958853800083
0.33,-2.02696e-12,0.01,5.76127e-09,202.980607100064
0.34,-1.99294e-12,0.01,5.90742e-09,204.014636800042
0.35,-2.10396e-12,0.01,6.06052e-09,205.432800600072
0.36,-2.12473e-12,0.01,6.20796e-09,206.466224999982
0.37,-2.18809e-12,0.01,6.36073e-09,207.483946399996
0.38,-2.20741e-12,0.01,6.50886e-09,208.538529100013
0.39,-2.24099e-12,0.01,6.66156e-09,209.564126400044
0.4,-2.20026e-12,0.01,6.80996e-09,210.586941400077
0.41,-2.209e-12,0.01,6.9587e-09,211.60673530004
0.42,-2.26989e-12,0.01,7.11184e-09,212.632221900043
0.43,-2.32241e-12,0.01,7.26142e-09,213.652701199986
0.44,-2.28542e-12,0.01,7.41533e-09,214.681157200015
0.45,-2.24159e-12,0.01,7.56444e-09,215.700762000051
0.46,-2.29646e-12,0.01,7.71823e-09,216.731364800013
0.47,-2.33778e-12,0.01,7.86846e-09,217.754217799986
0.48,-2.32348e-12,0.01,8.02313e-09,218.782299400074
0.49,-2.45332e-12,0.01,8.17281e-09,219.996267199982
0.5,-2.36541e-12,0.01,8.32216e-09,221.236275100033
0.51,-2.49496e-12,0.01,8.47644e-09,222.254648100003
0.52,-2.42109e-12,0.01,8.62789e-09,223.288256900036
0.53,-2.52211e-12,0.01,8.78347e-09,224.304138300009
0.54,-2.67853e-12,0.01,8.93571e-09,225.334705400048
0.55,-2.63591e-12,0.01,9.09156e-09,226.352747800061
0.56,-2.65043e-12,0.01,9.24346e-09,227.381721100071
0.57,-2.6177e-12,0.01,9.39649e-09,228.401145400014
0.58,-2.72229e-12,0.01,9.55386e-09,229.438173100003
0.59,-2.75954e-12,0.01,9.70638e-09,230.456305700005
0.6,-2.79073e-12,0.01,9.86408e-09,231.482781300088
0.61,-2.83924e-12,0.01,9.99955e-09,232.500609399984
0.62,-2.70182e-12,0.01,9.99969e-09,233.525152600021
0.63,-2.67651e-12,0.01,9.99972e-09,234.543211800046
0.64,-2.61347e-12,0.01,9.99978e-09,235.768726199982
0.65,-2.53023e-12,0.01,9.99987e-09,236.785293800058
0.66,-2.55644e-12,0.01,9.9998e-09,238.019695500028
0.67,-2.51206e-12,0.01,9.99976e-09,239.037840800011
0.68,-2.36372e-12,0.01,9.99994e-09,240.070497500012
0.69,-2.47885e-12,0.01,9.99986e-09,241.08727680007
0.7,-2.52013e-12,0.01,9.9999e-09,242.118833600078
0.71,-2.39322e-12,0.01,9.99985e-09,243.136956100003
0.72,-2.32421e-12,0.01,9.99984e-09,244.167531999992
0.73,-2.398e-12,0.01,9.99993e-09,245.185430900077
0.74,-2.47492e-12,0.01,9.99995e-09,246.208547300077
0.75,-2.3926e-12,0.01,9.99991e-09,247.224705400062
0.76,-2.39416e-12,0.01,1e-08,248.252672499977
0.77,-2.37288e-12,0.01,9.99987e-09,249.272927600075
