keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,time
0.49,-1.53315e-13,0.01,9.21782e-11,156.606681099976
0.5,1.86682e-14,0.01,1.00118e-10,157.842591500026
0.49,-3.56793e-14,0.01,8.09918e-11,158.858682299964
0.48,-5.13077e-14,0.01,6.71838e-11,159.885167400003
0.47,-1.57714e-14,0.01,5.59667e-11,160.901819300023
0.46,-5.43594e-15,0.01,4.73543e-11,161.92093839997
0.45,-5.11408e-15,0.01,4.0018e-11,162.937510899967
0.44,-4.25458e-14,0.01,3.42203e-11,163.974397500046
0.43,-4.38094e-14,0.01,2.91337e-11,164.991750800051
0.42,-4.68373e-14,0.01,2.50467e-11,166.019764499972
0.41,-6.48499e-15,0.01,2.12182e-11,167.038343399996
0.4,-3.07202e-14,0.01,1.8209e-11,168.06729279994
0.39,-5.51581e-14,0.01,1.55623e-11,169.084835199988
0.38,5.80072e-14,0.01,1.30519e-11,170.107856499963
0.37,2.48432e-14,0.01,1.11918e-11,171.123464899953
0.36,3.27706e-14,0.01,9.37316e-12,172.360296500032
0.35,5.95212e-14,0.01,7.49763e-12,173.582404799992
0.34,2.38657e-14,0.01,5.7825e-12,174.615055099945
0.33,4.86255e-14,0.01,4.42584e-12,175.635046900017
0.32,5.15699e-14,0.01,3.26217e-12,176.668680400006
0.31,2.06828e-14,0.01,2.12722e-12,177.686133399955
0.3,1.98603e-14,0.01,1.33263e-12,178.711589199957
0.29,-9.27806e-14,0.01,5.22196e-13,179.732369399979
0.28,4.05312e-15,0.01,-8.46744e-14,180.766179600032
0.27,7.00235e-14,0.01,-7.87365e-13,181.793238100014
0.26,-5.31197e-14,0.01,-1.10205e-12,182.825312200002
0.25,-8.00252e-14,0.01,-1.54967e-12,183.849271700019
0.24,-2.64168e-14,0.01,-1.80274e-12,184.882712499937
0.23,-8.30889e-14,0.01,-2.07057e-12,185.904221500037
0.22,3.05176e-15,0.01,-1.96109e-12,187.13257450005
0.21,7.99179e-14,0.01,-2.10783e-12,188.344890699955
0.2,1.43528e-14,0.01,-2.32344e-12,189.382743000053
0.19,-5.21898e-14,0.01,-2.48691e-12,190.403439300018
0.18,3.78847e-14,0.01,-2.67041e-12,191.432242900017
0.17,9.59635e-14,0.01,-2.79701e-12,192.460451200022
0.16,-4.64559e-14,0.01,-2.90698e-12,193.499471700052
0.15,8.71658e-14,0.01,-3.09345e-12,194.516603199998
0.14,7.04527e-15,0.01,-3.18878e-12,195.548172799987
0.13,-8.10981e-14,0.01,-3.34404e-12,196.567553399946
0.12,-3.08514e-14,0.01,-3.41699e-12,197.599086000002
0.11,-1.72377e-14,0.01,-3.61331e-12,198.61732910003
0.1,-9.94206e-15,0.01,-3.71094e-12,199.645552900038
0.09,-4.78148e-14,0.01,-3.82754e-12,200.665065699955
0.08,-1.27792e-14,0.01,-3.94874e-12,201.696873600013
0.07,-6.07967e-15,0.01,-3.94483e-12,202.919053899939
0.06,2.94685e-14,0.01,-4.01056e-12,204.140355900046
0.05,7.05004e-14,0.01,-4.308e-12,205.161403700011
0.04,-4.93288e-14,0.01,-4.4554e-12,206.199089600006
0.03,4.13656e-14,0.01,-4.6886e-12,207.220711000031
0.02,-1.14322e-14,0.01,-4.90389e-12,208.248733400018
0.01,-8.84056e-14,0.01,-5.03582e-12,209.271498600021
0.0,-3.61562e-14,0.01,-5.19086e-12,210.30530300003
